userid,fcnname,actionid,actiontype,time,input,output,quizq,actualoutput,result,finalguess
mthain,Induced,180,final_answer,2020-02-21 09:27:12,,,,,,"for pos, fib(x-1); for neg, fib(|x|) (i wrote this last time but i messed it up writing the answer lol)
"
mthain,SumParityInt,181,eval_input,2020-02-21 09:27:28,empty,0,,,,
mthain,SumParityInt,182,eval_input,2020-02-21 09:27:30,1,1,,,,
mthain,SumParityInt,183,eval_input,2020-02-21 09:27:32,2,0,,,,
mthain,SumParityInt,184,eval_input,2020-02-21 09:27:33,3,1,,,,
mthain,SumParityInt,185,eval_input,2020-02-21 09:27:34,4,0,,,,
mthain,SumParityInt,186,eval_input,2020-02-21 09:27:35,5,1,,,,
mthain,SumParityInt,187,eval_input,2020-02-21 09:27:36,6,0,,,,
mthain,SumParityInt,188,eval_input,2020-02-21 09:27:38,-1,1,,,,
mthain,SumParityInt,189,eval_input,2020-02-21 09:27:40,-2,0,,,,
mthain,SumParityInt,190,eval_input,2020-02-21 09:27:41,-3,1,,,,
mthain,SumParityInt,191,eval_input,2020-02-21 09:27:43,-4,0,,,,
mthain,SumParityInt,192,eval_input,2020-02-21 09:27:45,0,0,,,,
mthain,SumParityInt,193,eval_input,2020-02-21 09:27:47,0 1,1,,,,
mthain,SumParityInt,194,eval_input,2020-02-21 09:27:48,0 2,0,,,,
mthain,SumParityInt,195,eval_input,2020-02-21 09:27:49,0 3,1,,,,
mthain,SumParityInt,196,eval_input,2020-02-21 09:27:50,0 4,0,,,,
mthain,SumParityInt,197,eval_input,2020-02-21 09:27:51,0 5,1,,,,
mthain,SumParityInt,198,eval_input,2020-02-21 09:27:57,empty,0,,,,
mthain,SumParityInt,199,eval_input,2020-02-21 09:27:59,0 6,0,,,,
mthain,SumParityInt,200,eval_input,2020-02-21 09:28:05,0 -1,1,,,,
mthain,SumParityInt,201,eval_input,2020-02-21 09:28:06,0 -2,0,,,,
mthain,SumParityInt,202,eval_input,2020-02-21 09:28:07,0 -3,1,,,,
mthain,SumParityInt,203,eval_input,2020-02-21 09:28:09,0 -4,0,,,,
